2506,0,0,0
2506,1,52,52
2506,2,52,52
2506,3,52,52
2524,0,0,0
2524,1,22,22
2524,2,22,22
2524,3,22,22
2525,0,0,0
2525,1,0,0
2525,2,2,2
2525,3,17,17
2530,0,0,0
2530,1,41,41
2530,2,50,50
2530,3,59,59
2549,0,0,0
2549,1,0,0
2549,2,3,3
2549,3,22,22
2572,0,0,0
2572,1,49,49
2572,2,49,49
2572,3,49,49
2575,0,33,33
2575,1,65,65
2575,2,97,97
2575,3,97,97
2616,0,190,190
2616,1,250,250
2616,2,201,201
2616,3,267,267
2617,0,190,190
2617,1,270,270
2617,2,310,310
2617,3,350,350
2618,0,369,369
2618,1,299,299
2618,2,230,230
2618,3,165,165
2621,0,90,90
2621,1,90,90
2621,2,90,90
2621,3,90,90
2626,0,40,40
2626,1,60,60
2626,2,80,80
2626,3,100,100
2641,0,0,0
2641,1,10,10
2641,2,10,10
2641,3,10,10
2642,0,0,0
2642,1,10,10
2642,2,11,11
2642,3,17,17
2643,0,0,0
2643,1,24,24
2643,2,35,35
2643,3,107,107
2646,0,0,0
2646,1,0,0
2646,2,7,7
2646,3,50,50
2752,0,0,0
2752,1,67,67
2752,2,87,87
2752,3,107,107
2755,0,0,0
2755,1,73,73
2755,2,95,95
2755,3,117,117
2757,0,0,0
2757,1,196,196
2757,2,240,240
2757,3,284,284
2758,0,0,0
2758,1,20,20
2758,2,53,53
2758,3,86,86
2759,0,0,0
2759,1,122,122
2759,2,193,193
2759,3,264,264
2760,0,0,0
2760,1,63,63
2760,2,65,65
2760,3,79,79
2762,0,0,0
2762,1,112,112
2762,2,181,181
2762,3,250,250
2766,0,0,0
2766,1,60,60
2766,2,120,120
2766,3,170,170
2769,0,72,72
2769,1,98,98
2769,2,116,116
2769,3,147,147
2773,0,0,0
2773,1,34,34
2773,2,57,57
2773,3,80,80
2778,0,0,0
2778,1,30,30
2778,2,80,80
2778,3,130,130
2780,0,326,326
2780,1,266,266
2780,2,110,110
2780,3,34,34
2783,0,0,0
2783,1,15,15
2783,2,15,15
2783,3,15,15
2784,0,24,24
2784,1,6,6
2784,2,0,0
2784,3,0,0
2785,0,92,92
2785,1,34,34
2785,2,15,15
2785,3,0,0
2786,0,0,0
2786,1,30,30
2786,2,30,30
2786,3,30,30
2789,0,0,0
2789,1,10,10
2789,2,10,10
2789,3,10,10
2792,0,0,0
2792,1,10,10
2792,2,27,27
2792,3,44,44
2795,0,453,453
2795,1,338,338
2795,2,139,139
2795,3,51,51
2798,0,0,0
2798,1,10,10
2798,2,10,10
2798,3,10,10
2801,0,326,326
2801,1,246,246
2801,2,95,95
2801,3,44,44
2803,0,0,0
2803,1,10,10
2803,2,27,27
2803,3,44,44
2805,0,134,134
2805,1,146,146
2805,2,148,148
2805,3,40,40
2807,0,316,316
2807,1,321,321
2807,2,297,297
2807,3,118,118
2809,0,0,0
2809,1,15,15
2809,2,40,40
2809,3,65,65
2811,0,0,0
2811,1,25,25
2811,2,25,25
2811,3,25,25
2812,0,0,0
2812,1,17,17
2812,2,50,50
2812,3,105,105
2814,0,17,17
2814,1,30,30
2814,2,39,39
2814,3,54,54
2815,0,194,194
2815,1,141,141
2815,2,100,100
2815,3,84,84
2821,0,554,554
2821,1,525,525
2821,2,347,347
2821,3,385,385
2822,0,0,0
2822,1,330,330
2822,2,716,716
2822,3,1102,1102
2823,0,0,0
2823,1,84,84
2823,2,171,171
2823,3,260,260
2843,0,0,0
2843,1,20,20
2843,2,20,20
2843,3,20,20
2846,0,604,604
2846,1,442,442
2846,2,162,162
2846,3,0,0
2847,0,0,0
2847,1,22,22
2847,2,59,59
2847,3,96,96
2849,0,0,0
2849,1,82,82
2849,2,111,111
2849,3,330,330
2888,0,0,0
2888,1,20,20
2888,2,20,20
2888,3,20,20
2890,0,0,0
2890,1,22,22
2890,2,45,45
2890,3,96,96
2893,0,0,0
2893,1,20,20
2893,2,88,88
2893,3,156,156
2894,0,565,565
2894,1,515,515
2894,2,465,465
2894,3,0,0
2896,0,0,0
2896,1,41,41
2896,2,57,57
2896,3,209,209
2950,0,0,0
2950,1,40,40
2950,2,81,81
2950,3,171,171
2951,0,0,0
2951,1,22,22
2951,2,45,45
2951,3,96,96
